name,edition,stock,price
Angel of Destiny,Zendikar Rising,4,65
Glasspool Mimic // Glasspool Shore,Zendikar Rising,8,65
"Jace, Mirror Mage",Zendikar Rising,12,59
Scute Swarm,Zendikar Rising,6,59
Felidar Retreat,Zendikar Rising,6,49
Magmatic Channeler - foil,Zendikar Rising,1,49
Valakut Awakening // Valakut Stoneforge,Zendikar Rising,6,49
Maddening Cacophony - foil,Zendikar Rising,4,45
Archon of Emeria - foil,Zendikar Rising,1,39
Feed the Swarm - foil,Zendikar Rising,1,39
Maddening Cacophony,Zendikar Rising,12,39
Skyclave Relic,Zendikar Rising,8,39
Hagra Mauling // Hagra Broodpit - foil,Zendikar Rising,2,29
Swamp (#1 - 272) - foil,Zendikar Rising,20,29
Archon of Emeria,Zendikar Rising,6,25
Kazandu Mammoth // Kazandu Valley - foil,Zendikar Rising,2,25
Nullpriest of Oblivion - foil,Zendikar Rising,1,25
Valakut Exploration - foil,Zendikar Rising,1,25
Forest (#1 - 278) - foil,Zendikar Rising,20,19
Thieving Skydiver,Zendikar Rising,8,49
Island (#3 - 271) - foil,Zendikar Rising,20,45
Skyclave Relic - foil,Zendikar Rising,1,45
Confounding Conundrum - foil,Zendikar Rising,4,39
Forest (#3 - 280) - foil,Zendikar Rising,20,39
Ruin Crab - foil,Zendikar Rising,4,39
"Zareth San, the Trickster - foil",Zendikar Rising,3,39
Magmatic Channeler,Zendikar Rising,12,29
"Zareth San, the Trickster",Zendikar Rising,8,29
Hagra Mauling // Hagra Broodpit,Zendikar Rising,6,25
Nullpriest of Oblivion,Zendikar Rising,6,25
"Phylath, World Sculptor - foil",Zendikar Rising,3,25
Confounding Conundrum,Zendikar Rising,12,19
Inscription of Abundance - foil,Zendikar Rising,3,19
Kazandu Mammoth // Kazandu Valley,Zendikar Rising,6,19
Luminarch Aspirant - foil,Zendikar Rising,1,19
Malakir Rebirth // Malakir Mire - foil,Zendikar Rising,2,19
Mountain (#2 - 276) - foil,Zendikar Rising,20,19
Plains (#3 - 268) - foil,Zendikar Rising,20,19
Ruin Crab,Zendikar Rising,20,19
"Tazri, Beacon of Unity - foil",Zendikar Rising,4,19
Crawling Barrens - foil,Zendikar Rising,4,15
Kargan Intimidator - foil,Zendikar Rising,2,15
Mountain (#3 - 277) - foil,Zendikar Rising,20,15
Soul Shatter - foil,Zendikar Rising,3,15
Swamp (#3 - 274) - foil,Zendikar Rising,20,15
"Yasharn, Implacable Earth - foil",Zendikar Rising,2,15
Bloodchief´s Thirst,Zendikar Rising,4,12
Forest (#2 - 279) - foil,Zendikar Rising,20,12
Luminarch Aspirant,Zendikar Rising,6,19
Mountain (#1 - 275) - foil,Zendikar Rising,20,19
Plains (#1 - 266) - foil,Zendikar Rising,20,19
Roiling Vortex - foil,Zendikar Rising,4,19
Soaring Thought-Thief - foil,Zendikar Rising,4,19
Valakut Exploration,Zendikar Rising,12,19
Island (#2 - 270) - foil,Zendikar Rising,20,15
Merfolk Windrobber - foil,Zendikar Rising,4,15
Roiling Regrowth - foil,Zendikar Rising,4,15
Swamp (#2 - 273) - foil,Zendikar Rising,20,15
"Taborax, Hope´s Demise - foil",Zendikar Rising,3,15
Bala Ged Recovery // Bala Ged Sanctuary,Zendikar Rising,4,12
Demon´s Disciple - foil,Zendikar Rising,4,12
Inscription of Abundance,Zendikar Rising,6,12
Maul of the Skyclaves,Zendikar Rising,8,12
Murasa Rootgrazer - foil,Zendikar Rising,4,12
Ondu Inversion // Ondu Skyruins,Zendikar Rising,8,12
Plains (#2 - 267) - foil,Zendikar Rising,20,12
Skyclave Shade - foil,Zendikar Rising,4,12
Swarm Shambler - foil,Zendikar Rising,4,12
Token - Double Faced Blank Card (#6),Zendikar Rising,20,12
Token - Double Faced Blank Card (#2),Zendikar Rising,20,12
Token - Double Faced Blank Card (#4),Zendikar Rising,20,12
Token - Double Faced Blank Card (#7),Zendikar Rising,20,12
Vastwood Surge - foil,Zendikar Rising,4,12
"Yasharn, Implacable Earth",Zendikar Rising,6,12
"Akiri, Fearless Voyager - foil",Zendikar Rising,1,9
Cleric of Life´s Bond - foil,Zendikar Rising,4,9
"Grakmaw, Skyclave Ravager - foil",Zendikar Rising,4,9
Ondu Inversion // Ondu Skyruins - foil,Zendikar Rising,1,12
"Phylath, World Sculptor",Zendikar Rising,6,12
Sejiri Shelter // Sejiri Glacier - foil,Zendikar Rising,4,12
Spikefield Hazard // Spikefield Cave - foil,Zendikar Rising,3,12
Tangled Florahedron // Tangled Vale - foil,Zendikar Rising,3,12
Token - Double Faced Blank Card (#8),Zendikar Rising,20,12
Token - Double Faced Blank Card (#3),Zendikar Rising,20,12
Token - Double Faced Blank Card (#5),Zendikar Rising,20,12
Token - Double Faced Blank Card (#1),Zendikar Rising,20,12
Wayward Guide-Beast - foil,Zendikar Rising,4,12
"Zagras, Thief of Heartbeats - foil",Zendikar Rising,2,12
"Charix, the Raging Isle - foil",Zendikar Rising,4,9
Deliberate - foil,Zendikar Rising,4,9
"Kaza, Roil Chaser - foil",Zendikar Rising,4,9
Legion Angel - foil,Zendikar Rising,2,9
Nahiri´s Lithoforming - foil,Zendikar Rising,4,9
"Taborax, Hope´s Demise",Zendikar Rising,12,9
"Tazri, Beacon of Unity",Zendikar Rising,12,9
Archpriest of Iona - foil,Zendikar Rising,4,7
Blackbloom Rogue // Blackbloom Bog - foil,Zendikar Rising,4,7
"Charix, the Raging Isle",Zendikar Rising,12,7
Coveted Prize - foil,Zendikar Rising,4,7
Crawling Barrens,Zendikar Rising,12,7
"Grakmaw, Skyclave Ravager",Zendikar Rising,12,7
Inscription of Ruin - foil,Zendikar Rising,4,7
Legion Angel,Zendikar Rising,8,7
Malakir Rebirth // Malakir Mire,Zendikar Rising,12,7
Nahiri´s Lithoforming,Zendikar Rising,12,7
Oran-Rief Ooze - foil,Zendikar Rising,4,7
Swarm Shambler,Zendikar Rising,8,9
Tajuru Paragon - foil,Zendikar Rising,4,9
"Akiri, Fearless Voyager",Zendikar Rising,6,7
Base Camp - foil,Zendikar Rising,4,7
Brushfire Elemental - foil,Zendikar Rising,4,7
Coralhelm Chronicler - foil,Zendikar Rising,4,7
Cragplate Baloth - foil,Zendikar Rising,4,7
Feed the Swarm,Zendikar Rising,4,7
Inscription of Insight - foil,Zendikar Rising,4,7
Kargan Intimidator,Zendikar Rising,12,7
Lullmage´s Domination - foil,Zendikar Rising,4,7
Myriad Construct - foil,Zendikar Rising,4,7
"Orah, Skyclave Hierophant - foil",Zendikar Rising,3,7
Oran-Rief Ooze,Zendikar Rising,12,7
Roiling Vortex,Zendikar Rising,12,7
Shadows´ Verdict - foil,Zendikar Rising,4,7
Skyclave Shade,Zendikar Rising,12,7
Throne of Makindi - foil,Zendikar Rising,4,7
Acquisitions Expert - foil,Zendikar Rising,4,5
Archpriest of Iona,Zendikar Rising,12,5
Coralhelm Chronicler,Zendikar Rising,12,5
Cragplate Baloth,Zendikar Rising,12,5
Inscription of Insight,Zendikar Rising,12,5
Island (#3 - 271),Zendikar Rising,0,5
Kazuul´s Fury // Kazuul´s Cliffs - foil,Zendikar Rising,4,5
Master of Winds,Zendikar Rising,12,5
Myriad Construct,Zendikar Rising,12,5
Nimble Trapfinder - foil,Zendikar Rising,4,5
"Orah, Skyclave Hierophant",Zendikar Rising,12,5
Shatterskull Charger - foil,Zendikar Rising,4,7
Soul Shatter,Zendikar Rising,12,7
"Verazol, the Split Current - foil",Zendikar Rising,4,7
Akoum Hellhound - foil,Zendikar Rising,4,5
Canyon Jerboa - foil,Zendikar Rising,4,5
Coveted Prize,Zendikar Rising,12,5
Forest (#3 - 280),Zendikar Rising,20,5
Inscription of Ruin,Zendikar Rising,12,5
"Kaza, Roil Chaser",Zendikar Rising,12,5
"Linvala, Shield of Sea Gate",Zendikar Rising,12,5
Master of Winds - foil,Zendikar Rising,4,5
Negate - foil,Zendikar Rising,4,5
Nimble Trapfinder,Zendikar Rising,12,5
Pelakka Predation // Pelakka Caverns - foil,Zendikar Rising,4,5
Shadows´ Verdict,Zendikar Rising,12,5
Shatterskull Charger,Zendikar Rising,12,5
Swamp (#1 - 272),Zendikar Rising,20,5
Throne of Makindi,Zendikar Rising,12,5
"Verazol, the Split Current",Zendikar Rising,12,5
"Zagras, Thief of Heartbeats",Zendikar Rising,12,5
Adventure Awaits,Zendikar Rising,20,4
Akoum Hellhound,Zendikar Rising,20,4
Akoum Warrior // Akoum Teeth - foil,Zendikar Rising,4,4
Allied Assault,Zendikar Rising,20,4
Angelheart Protector - foil,Zendikar Rising,4,4
Anticognition - foil,Zendikar Rising,4,4
Ardent Electromancer,Zendikar Rising,20,4
Attended Healer - foil,Zendikar Rising,4,4
Beyeen Veil // Beyeen Coast,Zendikar Rising,20,4
Squad Commander - foil,Zendikar Rising,4,5
Tajuru Paragon,Zendikar Rising,12,5
Thundering Rebuke - foil,Zendikar Rising,4,5
Wayward Guide-Beast,Zendikar Rising,12,5
Acquisitions Expert,Zendikar Rising,20,4
Adventure Awaits - foil,Zendikar Rising,4,4
Akoum Warrior // Akoum Teeth,Zendikar Rising,20,4
Allied Assault - foil,Zendikar Rising,4,4
Angelheart Protector,Zendikar Rising,20,4
Anticognition,Zendikar Rising,20,4
Ardent Electromancer - foil,Zendikar Rising,4,4
Attended Healer,Zendikar Rising,20,4
Base Camp,Zendikar Rising,20,4
Beyeen Veil // Beyeen Coast - foil,Zendikar Rising,4,4
Blood Beckoning,Zendikar Rising,20,4
Blood Beckoning - foil,Zendikar Rising,4,4
Blood Price - foil,Zendikar Rising,4,4
Broken Wings,Zendikar Rising,20,4
Bubble Snare - foil,Zendikar Rising,4,4
Canopy Baloth,Zendikar Rising,20,4
Canyon Jerboa,Zendikar Rising,20,4
Cascade Seer,Zendikar Rising,20,4
Chilling Trap - foil,Zendikar Rising,4,4
Cinderclasm - foil,Zendikar Rising,4,4
Cleric of Chill Depths - foil,Zendikar Rising,4,4
Cleric of Life´s Bond,Zendikar Rising,20,4
Cliffhaven Kitesail - foil,Zendikar Rising,4,4
Cliffhaven Sell-Sword - foil,Zendikar Rising,4,4
Concerted Defense,Zendikar Rising,20,4
Blood Price,Zendikar Rising,20,4
Broken Wings - foil,Zendikar Rising,4,4
Brushfire Elemental,Zendikar Rising,20,4
Bubble Snare,Zendikar Rising,20,4
Canopy Baloth - foil,Zendikar Rising,4,4
Cascade Seer - foil,Zendikar Rising,4,4
Chilling Trap,Zendikar Rising,20,4
Cinderclasm,Zendikar Rising,20,4
Cleansing Wildfire,Zendikar Rising,20,4
Cleric of Chill Depths,Zendikar Rising,20,4
Cliffhaven Kitesail,Zendikar Rising,20,4
Cliffhaven Sell-Sword,Zendikar Rising,20,4
Concerted Defense - foil,Zendikar Rising,4,4
Cunning Geysermage - foil,Zendikar Rising,4,4
Dauntless Survivor - foil,Zendikar Rising,4,4
Dauntless Survivor,Zendikar Rising,20,4
Dauntless Unity - foil,Zendikar Rising,4,4
Deadly Alliance,Zendikar Rising,20,4
Demon´s Disciple,Zendikar Rising,20,4
Disenchant,Zendikar Rising,20,4
Drana´s Silencer,Zendikar Rising,20,4
Dreadwurm - foil,Zendikar Rising,4,4
Emeria Captain,Zendikar Rising,20,4
Expedition Champion,Zendikar Rising,20,4
Expedition Diviner,Zendikar Rising,20,4
Expedition Healer,Zendikar Rising,20,4
Expedition Skulker,Zendikar Rising,20,4
Farsight Adept,Zendikar Rising,20,4
Fearless Fledgling - foil,Zendikar Rising,4,4
Dauntless Unity,Zendikar Rising,20,4
Deadly Alliance - foil,Zendikar Rising,4,4
Deliberate,Zendikar Rising,20,4
Disenchant - foil,Zendikar Rising,4,4
Drana´s Silencer - foil,Zendikar Rising,4,4
Dreadwurm,Zendikar Rising,20,4
Emeria Captain - foil,Zendikar Rising,4,4
Expedition Champion - foil,Zendikar Rising,4,4
Expedition Diviner - foil,Zendikar Rising,4,4
Expedition Healer - foil,Zendikar Rising,4,4
Expedition Skulker - foil,Zendikar Rising,4,4
Farsight Adept - foil,Zendikar Rising,4,4
Fearless Fledgling,Zendikar Rising,20,4
Field Research - foil,Zendikar Rising,4,4
Fireblade Charger - foil,Zendikar Rising,4,4
Fireblade Charger,Zendikar Rising,20,4
Fissure Wizard - foil,Zendikar Rising,4,4
Forest (#1 - 278),Zendikar Rising,20,4
Ghastly Gloomhunter - foil,Zendikar Rising,4,4
Glacial Grasp - foil,Zendikar Rising,4,4
Gnarlid Colony,Zendikar Rising,20,4
Goma Fada Vanguard - foil,Zendikar Rising,4,4
Grotag Bug-Catcher,Zendikar Rising,20,4
Grotag Night-Runner - foil,Zendikar Rising,4,4
Guul Draz Mucklord - foil,Zendikar Rising,4,4
Hagra Constrictor,Zendikar Rising,20,4
Highborn Vampire,Zendikar Rising,20,4
Inordinate Rage - foil,Zendikar Rising,4,4
Into the Roil,Zendikar Rising,20,4
Fissure Wizard,Zendikar Rising,20,4
Forest (#2 - 279),Zendikar Rising,20,4
Ghastly Gloomhunter,Zendikar Rising,20,4
Glacial Grasp,Zendikar Rising,20,4
Gnarlid Colony - foil,Zendikar Rising,4,4
Goma Fada Vanguard,Zendikar Rising,20,4
Grotag Bug-Catcher - foil,Zendikar Rising,4,4
Grotag Night-Runner,Zendikar Rising,20,4
Guul Draz Mucklord,Zendikar Rising,20,4
Hagra Constrictor - foil,Zendikar Rising,4,4
Highborn Vampire - foil,Zendikar Rising,4,4
Inordinate Rage,Zendikar Rising,20,4
Into the Roil - foil,Zendikar Rising,4,4
Iridescent Hornbeetle,Zendikar Rising,20,4
Island (#2 - 270),Zendikar Rising,20,4
Island (#1 - 269),Zendikar Rising,20,4
Joraga Visionary - foil,Zendikar Rising,4,4
Journey to Oblivion - foil,Zendikar Rising,4,4
Kabira Outrider,Zendikar Rising,20,4
Kabira Takedown // Kabira Plateau,Zendikar Rising,20,4
Kargan Warleader - foil,Zendikar Rising,4,4
Kazandu Nectarpot,Zendikar Rising,20,4
Kazandu Stomper - foil,Zendikar Rising,4,4
Kazuul´s Fury // Kazuul´s Cliffs,Zendikar Rising,20,4
Kitesail Cleric - foil,Zendikar Rising,4,4
Kor Blademaster,Zendikar Rising,20,4
Kor Celebrant,Zendikar Rising,20,4
Lithoform Blight - foil,Zendikar Rising,4,4
Living Tempest,Zendikar Rising,20,4
Joraga Visionary,Zendikar Rising,20,4
Journey to Oblivion,Zendikar Rising,20,4
Jwari Disruption // Jwari Ruins,Zendikar Rising,20,4
Kabira Outrider - foil,Zendikar Rising,4,4
Kabira Takedown // Kabira Plateau - foil,Zendikar Rising,4,4
Kargan Warleader,Zendikar Rising,20,4
Kazandu Nectarpot - foil,Zendikar Rising,4,4
Kazandu Stomper,Zendikar Rising,20,4
Khalni Ambush // Khalni Territory,Zendikar Rising,20,4
Kitesail Cleric,Zendikar Rising,20,4
Kor Blademaster - foil,Zendikar Rising,4,4
Kor Celebrant - foil,Zendikar Rising,4,4
Lithoform Blight,Zendikar Rising,20,4
Living Tempest - foil,Zendikar Rising,4,4
Lullmage´s Familiar - foil,Zendikar Rising,4,4
Lullmage´s Familiar,Zendikar Rising,20,4
Makindi Ox - foil,Zendikar Rising,4,4
Makindi Stampede // Makindi Mesas - foil,Zendikar Rising,4,4
Malakir Blood-Priest - foil,Zendikar Rising,4,4
Marauding Blight-Priest,Zendikar Rising,20,4
Merfolk Falconer - foil,Zendikar Rising,4,4
Mesa Lynx - foil,Zendikar Rising,4,4
Might of Murasa,Zendikar Rising,20,4
Mind Carver - foil,Zendikar Rising,4,4
Mind Drain - foil,Zendikar Rising,4,4
Molten Blast - foil,Zendikar Rising,4,4
Moss-Pit Skeleton,Zendikar Rising,20,4
Mountain (#1 - 275),Zendikar Rising,20,4
Mountain (#2 - 276),Zendikar Rising,20,4
Makindi Ox,Zendikar Rising,20,4
Makindi Stampede // Makindi Mesas,Zendikar Rising,20,4
Malakir Blood-Priest,Zendikar Rising,20,4
Marauding Blight-Priest - foil,Zendikar Rising,4,4
Merfolk Falconer,Zendikar Rising,20,4
Merfolk Windrobber,Zendikar Rising,20,4
Mesa Lynx,Zendikar Rising,20,4
Might of Murasa - foil,Zendikar Rising,4,4
Mind Carver,Zendikar Rising,20,4
Mind Drain,Zendikar Rising,20,4
Molten Blast,Zendikar Rising,20,4
Moss-Pit Skeleton - foil,Zendikar Rising,4,4
Mountain (#3 - 277),Zendikar Rising,20,4
Murasa Brute - foil,Zendikar Rising,4,4
Murasa Rootgrazer,Zendikar Rising,20,4
Murasa Sproutling,Zendikar Rising,20,4
Nahiri´s Binding,Zendikar Rising,20,4
Negate,Zendikar Rising,20,4
Nimana Skitter-Sneak,Zendikar Rising,20,4
Nimana Skydancer - foil,Zendikar Rising,4,4
Nissa´s Zendikon - foil,Zendikar Rising,4,4
Oblivion´s Hunger - foil,Zendikar Rising,4,4
Paired Tactician,Zendikar Rising,20,4
Plains (#3 - 268),Zendikar Rising,20,4
Plains (#1 - 266),Zendikar Rising,20,4
Practiced Tactics - foil,Zendikar Rising,4,4
Pressure Point - foil,Zendikar Rising,4,4
Prowling Felidar - foil,Zendikar Rising,4,4
Pyroclastic Hellion,Zendikar Rising,20,4
Murasa Sproutling - foil,Zendikar Rising,4,4
Nahiri´s Binding - foil,Zendikar Rising,4,4
Nimana Skitter-Sneak - foil,Zendikar Rising,4,4
Nimana Skydancer,Zendikar Rising,20,4
Nissa´s Zendikon,Zendikar Rising,20,4
Oblivion´s Hunger,Zendikar Rising,20,4
Paired Tactician - foil,Zendikar Rising,4,4
Pelakka Predation // Pelakka Caverns,Zendikar Rising,20,4
Plains (#2 - 267),Zendikar Rising,20,4
Practiced Tactics,Zendikar Rising,20,4
Pressure Point,Zendikar Rising,20,4
Prowling Felidar,Zendikar Rising,20,4
Pyroclastic Hellion - foil,Zendikar Rising,4,4
Rabid Bite,Zendikar Rising,20,4
Ravager´s Mace,Zendikar Rising,20,4
Ravager´s Mace - foil,Zendikar Rising,4,4
Reclaim the Wastes - foil,Zendikar Rising,4,4
Relic Amulet,Zendikar Rising,20,4
Relic Axe - foil,Zendikar Rising,4,4
Relic Golem,Zendikar Rising,20,4
Relic Vial - foil,Zendikar Rising,4,4
Resolute Strike,Zendikar Rising,20,4
Risen Riptide - foil,Zendikar Rising,4,4
Rockslide Sorcerer - foil,Zendikar Rising,4,4
Roil Eruption - foil,Zendikar Rising,4,4
Roost of Drakes - foil,Zendikar Rising,4,4
Scale the Heights - foil,Zendikar Rising,4,4
Scavenged Blade - foil,Zendikar Rising,4,4
Scion of the Swarm - foil,Zendikar Rising,4,4
Reclaim the Wastes,Zendikar Rising,20,4
Relic Amulet - foil,Zendikar Rising,4,4
Relic Axe,Zendikar Rising,20,4
Relic Golem - foil,Zendikar Rising,4,4
Relic Vial,Zendikar Rising,20,4
Resolute Strike - foil,Zendikar Rising,4,4
Risen Riptide,Zendikar Rising,20,4
Rockslide Sorcerer,Zendikar Rising,20,4
Roil Eruption,Zendikar Rising,20,4
Roiling Regrowth,Zendikar Rising,20,4
Roost of Drakes,Zendikar Rising,20,4
Scale the Heights,Zendikar Rising,20,4
Scavenged Blade,Zendikar Rising,20,4
Scion of the Swarm,Zendikar Rising,20,4
Scorch Rider,Zendikar Rising,20,4
Sea Gate Banneret - foil,Zendikar Rising,4,4
Sea Gate Colossus - foil,Zendikar Rising,4,4
Seafloor Stalker - foil,Zendikar Rising,4,4
Sejiri Shelter // Sejiri Glacier,Zendikar Rising,20,4
Shadow Stinger,Zendikar Rising,20,4
Shatterskull Minotaur,Zendikar Rising,20,4
Shell Shield - foil,Zendikar Rising,4,4
Shepherd of Heroes - foil,Zendikar Rising,4,4
Sizzling Barrage - foil,Zendikar Rising,4,4
Skyclave Cleric // Skyclave Basilica - foil,Zendikar Rising,4,4
Skyclave Geopede,Zendikar Rising,20,4
Skyclave Pick-Axe,Zendikar Rising,20,4
Skyclave Plunder - foil,Zendikar Rising,4,4
Skyclave Sentinel,Zendikar Rising,20,4
Sea Gate Banneret,Zendikar Rising,20,4
Sea Gate Colossus,Zendikar Rising,20,4
Seafloor Stalker,Zendikar Rising,20,4
Shadow Stinger - foil,Zendikar Rising,4,4
Shatterskull Minotaur - foil,Zendikar Rising,4,4
Shell Shield,Zendikar Rising,20,4
Shepherd of Heroes,Zendikar Rising,20,4
Silundi Vision // Silundi Isle,Zendikar Rising,20,4
Sizzling Barrage,Zendikar Rising,20,4
Skyclave Cleric // Skyclave Basilica,Zendikar Rising,20,4
Skyclave Geopede - foil,Zendikar Rising,4,4
Skyclave Pick-Axe - foil,Zendikar Rising,4,4
Skyclave Plunder,Zendikar Rising,20,4
Skyclave Sentinel - foil,Zendikar Rising,4,4
Skyclave Shadowcat - foil,Zendikar Rising,4,4
Skyclave Squid,Zendikar Rising,20,4
Smite the Monstrous - foil,Zendikar Rising,4,4
Sneaking Guide - foil,Zendikar Rising,4,4
Soaring Thought-Thief,Zendikar Rising,20,4
Song-Mad Treachery // Song-Mad Ruins,Zendikar Rising,20,4
Spare Supplies - foil,Zendikar Rising,4,4
Spitfire Lagac,Zendikar Rising,20,4
Spoils of Adventure,Zendikar Rising,20,4
Springmantle Cleric - foil,Zendikar Rising,4,4
Squad Commander,Zendikar Rising,12,4
Stonework Packbeast - foil,Zendikar Rising,4,4
Strength of Solidarity,Zendikar Rising,20,4
Subtle Strike,Zendikar Rising,20,4
Sure-Footed Infiltrator,Zendikar Rising,20,4
Skyclave Squid - foil,Zendikar Rising,4,4
Smite the Monstrous,Zendikar Rising,20,4
Sneaking Guide,Zendikar Rising,20,4
Song-Mad Treachery // Song-Mad Ruins - foil,Zendikar Rising,4,4
Spare Supplies,Zendikar Rising,20,4
Spikefield Hazard // Spikefield Cave,Zendikar Rising,20,4
Spitfire Lagac - foil,Zendikar Rising,4,4
Spoils of Adventure - foil,Zendikar Rising,4,4
Springmantle Cleric,Zendikar Rising,20,4
Stonework Packbeast,Zendikar Rising,20,4
Strength of Solidarity - foil,Zendikar Rising,4,4
Subtle Strike - foil,Zendikar Rising,4,4
Sure-Footed Infiltrator - foil,Zendikar Rising,4,4
Swamp (#2 - 273),Zendikar Rising,20,4
Synchronized Spellcraft,Zendikar Rising,20,4
Synchronized Spellcraft - foil,Zendikar Rising,4,4
Tajuru Blightblade,Zendikar Rising,20,4
Tajuru Snarecaster - foil,Zendikar Rising,4,4
Taunting Arbormage - foil,Zendikar Rising,4,4
Tazeem Raptor - foil,Zendikar Rising,4,4
Tazeem Roilmage,Zendikar Rising,20,4
Teeterpeak Ambusher - foil,Zendikar Rising,4,4
Territorial Scythecat - foil,Zendikar Rising,4,4
Thundering Rebuke,Zendikar Rising,20,4
Thundering Sparkmage,Zendikar Rising,20,4
Thwart the Grave - foil,Zendikar Rising,4,4
Token - Cat,Zendikar Rising,20,4
Token - Construct,Zendikar Rising,20,4
Token - Double Faced Blank Card (#9),Zendikar Rising,20,4
Tajuru Blightblade - foil,Zendikar Rising,4,4
Tajuru Snarecaster,Zendikar Rising,20,4
Tangled Florahedron // Tangled Vale,Zendikar Rising,20,4
Taunting Arbormage,Zendikar Rising,20,4
Tazeem Raptor,Zendikar Rising,20,4
Tazeem Roilmage - foil,Zendikar Rising,4,4
Teeterpeak Ambusher,Zendikar Rising,20,4
Territorial Scythecat,Zendikar Rising,20,4
Thundering Sparkmage - foil,Zendikar Rising,4,4
Thwart the Grave,Zendikar Rising,20,4
Token - Angel Warrior,Zendikar Rising,20,4
Token - Cat Beast,Zendikar Rising,20,4
Token - Copy,Zendikar Rising,20,4
Token - Drake,Zendikar Rising,20,4
Token - Hydra,Zendikar Rising,0,4
Token - Illusion,Zendikar Rising,20,4
Token - Kor Warrior,Zendikar Rising,20,4
Tormenting Voice,Zendikar Rising,20,4
Tuktuk Rubblefort - foil,Zendikar Rising,4,4
Turntimber Ascetic,Zendikar Rising,20,4
Umara Mystic - foil,Zendikar Rising,4,4
Umara Wizard // Umara Skyfalls - foil,Zendikar Rising,4,4
Utility Knife,Zendikar Rising,20,4
Vanquish the Weak - foil,Zendikar Rising,4,4
Vastwood Fortification // Vastwood Thicket - foil,Zendikar Rising,4,4
Vastwood Surge,Zendikar Rising,20,4
Veteran Adventurer,Zendikar Rising,20,4
Vine Gecko,Zendikar Rising,20,4
Windrider Wizard - foil,Zendikar Rising,4,4
Token - Insect,Zendikar Rising,20,4
Token - Plant,Zendikar Rising,20,4
Tormenting Voice - foil,Zendikar Rising,4,4
Tuktuk Rubblefort,Zendikar Rising,20,4
